district_code,avg_english_sat,avg_math_sat,avg_sat_total,avg_teacher_salary,expenditure_per_pupil,grad_rate,percent_enrolled_asian,percent_enrolled_black,percent_enrolled_female,percent_enrolled_latino,percent_enrolled_male,percent_enrolled_multiracial,percent_enrolled_other,percent_enrolled_white,state,student_total
041013200260000,462.1,452.8,914.9000000000001,52814.0,13768.63,85.3,0.0,5.0,48.28,27.7,51.72,7.8,0.0,58.8,IL,900.01
041013210260000,541.8,511.6,1053.4,49448.0,13970.5,85.2,0.0,1.3,48.38,4.7,51.62,4.0,0.0,89.1,IL,885.05
041013220260000,497.3,456.6,953.9000000000001,52545.0,16822.68,80.0,0.0,0.0,47.24,7.7,52.76,4.8,0.0,86.8,IL,524.02
041013230260000,507.1,485.9,993.0,61182.0,17530.38,91.0,0.0,2.7,49.38,8.0,50.62,5.3,0.0,83.0,IL,1263.27
050162020170000,530.1,509.7,1039.8,109481.0,24031.75,94.2,5.4,24.7,47.67,20.0,52.33,4.2,0.3,45.1,IL,3737.0
050162030170000,595.2,586.7,1181.9,128969.0,29146.89,98.5,9.8,0.6,47.45,7.7,52.55,5.1,0.0,76.6,IL,3876.45
050162070170000,511.8,505.8,1017.6,121231.0,24939.87,94.0,14.1,2.7,47.99,25.7,52.01,2.5,0.2,54.7,IL,6261.65
050162110170000,521.7,529.7,1051.4,111655.0,20993.22,93.3,21.6,5.8,48.71,27.0,51.29,3.3,0.30000000000000004,42.0,IL,12096.49
050162140170000,518.9,512.6,1031.5,115519.0,22328.19,94.0,8.2,2.2,48.63,34.5,51.37,3.0,0.1,51.9,IL,12029.06
050162190170000,509.2,504.0,1013.2,121362.0,29092.06,92.2,33.1,7.4,47.29,15.7,52.71,4.4,0.0,39.0,IL,4589.56
050162250170000,574.7,571.3,1146.0,117798.0,25757.08,95.6,19.4,1.2,49.06,10.9,50.94,4.7,0.0,63.8,IL,5132.0
060162000130000,552.5,534.2,1086.7,107788.0,22889.39,93.7,4.1,18.3,47.45,13.5,52.55,8.7,0.0,55.2,IL,3375.76
060162010170000,437.9,422.8,860.7,82626.0,14980.1,82.5,0.6,3.3,48.05,90.5,51.95,0.4,0.7,4.5,IL,8091.0
060162040170000,536.1,538.8,1074.9,117086.0,20027.73,95.1,2.3,3.2,49.18,23.8,50.82,2.9,0.0,67.6,IL,3956.0
